100 2321753 1000110110110101011001
R-8 P-4 D-6 M-48
R-8 P-4 D-3 M-51
R-8 P-5 D-5 M-65
R-8 P-6 D-6 M-41
R-8 P-6 D-3 M-44
R-8 P-6 S-2 M-42
R-9 P-1 D-2 M-28
R-9 P-2 D-6 M-30
R-9 P-2 L-22 M-52
R-9 P-2 D-1 M-53
R-9 P-3 D-5 M-57
R-9 P-4 D-2 M-53
R-9 P-5 D-5 M-70
R-9 P-6 D-1 M-43
R-10 P-1 D-1 M-29
R-10 P-2 D-6 M-59
R-10 P-2 D-1 M-60
R-10 P-3 D-2 M-59
R-10 P-4 D-3 M-56
R-10 P-5 D-5 M-75
R-10 P-6 D-4 M-47
R-11 P-1 D-2 M-31
R-11 P-2 D-6 M-66
R-11 P-2 D-1 M-67
R-11 P-3 D-3 M-62
R-11 P-4 D-2 M-58
R-11 P-5 D-6 M-81
R-11 P-5 D-4 M-85
R-11 P-6 D-3 M-50
R-12 P-1 D-5 M-36
R-12 P-2 D-6 M-73
R-12 P-2 L-12 M-85
R-12 P-2 D-2 M-87
R-12 P-3 D-5 M-67
R-12 P-4 D-2 M-60
R-12 P-5 D-1 M-86
R-12 P-6 D-3 M-53
R-13 P-1 D-1 M-37
R-13 P-2 D-2 M-89
R-13 P-3 D-3 M-70
R-13 P-4 D-3 M-63
R-13 P-5 D-6 M-92
R-13 P-5 D-4 M-96
R-13 P-6 D-4 M-57
R-14 P-1 D-3 M-40
R-14 P-2 D-3 M-92
R-14 P-3 D-1 M-71
R-14 P-4 D-5 M-68
R-14 P-5 D-2 M-98
R-14 P-6 D-5 M-62
R-15 P-1 D-4 M-44
R-15 P-1 S-2 M-42
R-15 P-2 D-3 M-95
R-15 P-3 D-5 M-76
R-15 P-4 D-5 M-73
R-15 P-4 L-12 M-85
R-15 P-5 D-1 M-99
R-15 P-5 S-25 M-74
R-15 P-6 D-5 M-67
R-16 P-1 D-6 M-48
R-16 P-1 D-1 M-49
R-16 P-2 D-1 M-96
R-16 P-3 D-6 M-82
R-16 P-3 L-15 M-97
R-16 P-3 D-2 M-99
R-16 P-3 S-25 M-74
R-16 P-4 D-2 M-87
R-16 P-5 D-5 M-79
R-16 P-6 D-6 M-73
R-16 P-6 L-12 M-85
R-16 P-6 D-5 M-90
R-17 P-1 D-3 M-52
R-17 P-2 D-4 M-100
wP-2

