100 2321753 1000110110110101011001
R-9 P-2 L-22 M-52
R-9 P-3 D-4 M-42
R-9 P-4 D-6 M-65
R-9 P-4 D-6 M-71
R-9 P-4 D-6 M-77
R-9 P-4 D-5 M-82
R-9 P-4 L-15 M-97
R-9 P-5 D-1 M-19
R-9 P-6 D-1 M-24
R-10 P-1 D-5 M-32
R-10 P-2 D-1 M-53
R-10 P-3 D-2 M-44
R-10 P-3 S-2 M-42
R-9 P-4 L-15 M-97
R-10 P-5 D-6 M-25
R-10 P-5 D-2 M-27
R-10 P-6 D-5 M-29
R-11 P-1 D-1 M-33
R-11 P-1 S-10 M-23
R-11 P-2 D-2 M-55
R-11 P-2 S-26 M-29
R-11 P-3 D-5 M-47
R-11 P-4 D-1 M-98
R-11 P-5 D-1 M-28
R-11 P-6 D-2 M-31
R-12 P-1 D-5 M-28
R-12 P-2 D-4 M-33
R-12 P-2 S-10 M-23
R-12 P-3 D-6 M-53
R-12 P-3 D-3 M-56
R-11 P-4 D-1 M-98
R-12 P-5 D-3 M-31
R-12 P-6 D-2 M-33
R-12 P-6 S-10 M-23
R-13 P-1 D-2 M-30
R-13 P-1 L-22 M-52
R-13 P-2 D-4 M-27
R-13 P-3 D-6 M-62
R-13 P-3 D-3 M-65
R-13 P-4 D-1 M-99
R-13 P-4 S-25 M-74
R-13 P-5 D-4 M-35
R-13 P-6 D-2 M-25
R-14 P-1 D-3 M-55
R-14 P-1 S-26 M-29
R-14 P-2 D-2 M-29
R-14 P-3 D-5 M-70
R-14 P-4 D-1 M-75
R-14 P-5 D-3 M-38
R-14 P-6 D-4 M-29
R-15 P-1 D-5 M-34
R-15 P-2 D-1 M-30
R-15 P-2 L-22 M-52
R-15 P-3 D-6 M-76
R-15 P-3 D-5 M-81
R-15 P-4 D-4 M-79
R-15 P-5 D-6 M-44
R-15 P-5 S-2 M-42
R-15 P-5 D-4 M-46
R-15 P-6 D-1 M-30
R-15 P-6 L-22 M-52
R-16 P-1 D-3 M-37
R-16 P-2 D-3 M-55
R-16 P-2 S-26 M-29
R-16 P-3 D-5 M-86
R-16 P-4 D-6 M-85
R-16 P-4 D-4 M-89
R-16 P-5 D-2 M-48
R-16 P-6 D-5 M-57
R-17 P-1 D-3 M-40
R-17 P-2 D-1 M-30
R-17 P-2 L-22 M-52
R-17 P-3 D-5 M-91
R-17 P-4 D-3 M-92
R-17 P-5 D-3 M-51
R-17 P-6 D-4 M-61
R-18 P-1 D-3 M-43
R-18 P-2 D-6 M-58
R-18 P-2 D-4 M-62
R-18 P-3 D-3 M-94
R-18 P-4 D-2 M-94
R-18 P-5 D-2 M-53
R-18 P-6 D-6 M-67
R-18 P-6 D-1 M-68
R-19 P-1 D-4 M-47
R-19 P-2 D-6 M-68
R-19 P-2 D-4 M-72
R-19 P-3 D-3 M-97
R-19 P-4 D-2 M-96
R-19 P-5 D-6 M-59
R-19 P-5 D-3 M-62
R-19 P-6 D-6 M-74
R-19 P-6 D-2 M-76
R-20 P-1 D-6 M-53
R-20 P-1 D-6 M-59
R-20 P-1 D-1 M-60
R-20 P-2 D-1 M-73
R-20 P-2 L-12 M-85
R-19 P-3 D-3 M-97
R-20 P-4 D-3 M-99
R-20 P-4 S-25 M-74
R-20 P-5 D-5 M-67
R-20 P-6 D-2 M-78
R-21 P-1 D-5 M-65
R-21 P-2 D-4 M-89
R-21 P-3 D-3 M-100
wP-3

