100 2321753 1000110110110101011001000
R-1 P-5 L-10 M-11
R-1 P-6 D-6 M-6
R-1 P-6 L-12 M-18
R-1 P-6 D-5 M-23
R-1 P-6 S-5 M-18
R-2 P-1 D-4 M-25
R-2 P-2 D-1 M-4
R-2 P-3 D-3 M-5
R-2 P-4 D-4 M-7
R-2 P-5 D-5 M-16
R-2 P-6 D-4 M-22
R-2 P-6 L-19 M-41
R-3 P-1 D-6 M-31
R-3 P-1 L-12 M-43
R-3 P-1 D-2 M-45
R-3 P-2 D-4 M-8
R-3 P-3 D-3 M-8
R-3 P-4 D-2 M-9
R-3 P-5 D-5 M-21
R-3 P-6 D-6 M-47
R-3 P-6 D-3 M-50
R-4 P-1 D-6 M-51
R-4 P-1 D-3 M-54
R-4 P-1 S-30 M-24
R-4 P-2 D-3 M-11
R-4 P-3 D-1 M-9
R-4 P-4 D-5 M-14
R-4 P-5 D-4 M-25
R-4 P-6 D-3 M-53
R-5 P-1 D-4 M-28
R-5 P-2 D-3 M-14
R-5 P-3 D-1 M-10
R-5 P-4 D-4 M-18
R-5 P-5 D-4 M-29
R-5 P-6 D-1 M-54
R-5 P-6 S-30 M-24
R-6 P-1 D-5 M-33
R-6 P-2 D-3 M-17
R-6 P-3 D-3 M-13
R-6 P-4 D-2 M-20
R-6 P-4 S-10 M-10
R-6 P-5 D-6 M-35
R-6 P-5 D-6 M-41
R-6 P-5 D-1 M-42
R-6 P-6 D-6 M-30
R-6 P-6 S-2 M-28
R-6 P-6 D-3 M-31
R-6 P-6 L-12 M-43
R-7 P-1 D-1 M-34
R-7 P-2 D-2 M-19
R-7 P-3 D-2 M-15
R-7 P-3 S-13 M-2
R-7 P-4 D-1 M-11
R-7 P-5 D-3 M-45
R-7 P-6 D-6 M-49
R-7 P-6 S-13 M-36
R-7 P-6 D-2 M-38
R-8 P-1 D-2 M-36
R-8 P-1 L-7 M-43
R-8 P-2 D-1 M-20
R-8 P-2 S-10 M-10
R-8 P-3 D-1 M-3
R-8 P-4 D-1 M-12
R-8 P-5 D-3 M-48
R-8 P-6 D-4 M-42
R-9 P-1 D-2 M-45
R-9 P-2 D-5 M-15
R-9 P-2 S-13 M-2
R-9 P-3 D-5 M-8
R-9 P-4 D-2 M-14
R-9 P-5 D-4 M-52
R-9 P-5 L-11 M-63
R-9 P-6 D-2 M-44
R-10 P-1 D-4 M-49
R-10 P-1 S-13 M-36
R-10 P-2 D-4 M-6
R-10 P-2 L-12 M-18
R-10 P-3 D-5 M-13
R-10 P-4 D-5 M-19
R-10 P-5 D-3 M-66
R-10 P-6 D-6 M-50
R-10 P-6 D-3 M-53
R-11 P-1 D-5 M-41
R-11 P-2 D-2 M-20
R-11 P-2 S-10 M-10
R-11 P-3 D-2 M-15
R-11 P-3 S-13 M-2
R-11 P-4 D-3 M-22
R-11 P-4 L-19 M-41
R-11 P-5 D-1 M-67
R-11 P-6 D-5 M-58
R-12 P-1 D-3 M-44
R-12 P-2 D-1 M-11
R-12 P-3 D-5 M-7
R-12 P-4 D-3 M-44
R-12 P-5 D-6 M-73
R-12 P-5 D-5 M-78
R-12 P-5 S-38 M-40
R-12 P-6 D-1 M-59
R-13 P-1 D-3 M-47
R-13 P-2 D-2 M-13
R-13 P-3 D-6 M-13
R-13 P-3 D-4 M-17
R-13 P-4 D-4 M-48
R-13 P-5 D-6 M-46
R-13 P-5 D-5 M-51
R-13 P-6 D-1 M-60
R-13 P-6 S-20 M-40
R-14 P-1 D-4 M-51
R-14 P-2 D-5 M-18
R-14 P-3 D-1 M-18
R-14 P-4 D-1 M-49
R-14 P-4 S-13 M-36
R-14 P-5 D-1 M-52
R-14 P-5 L-11 M-63
R-14 P-6 D-4 M-44
R-15 P-1 D-4 M-55
R-15 P-2 D-3 M-21
R-15 P-3 D-6 M-24
R-15 P-3 D-4 M-28
R-15 P-4 D-4 M-40
R-15 P-4 L-35 M-75
R-15 P-5 D-6 M-69
R-15 P-5 D-2 M-71
R-15 P-6 D-4 M-48
R-16 P-1 D-6 M-61
R-16 P-1 D-6 M-67
R-16 P-1 D-5 M-72
R-16 P-2 D-3 M-24
R-16 P-3 D-3 M-31
R-16 P-3 L-12 M-43
R-16 P-4 D-4 M-79
R-16 P-5 D-5 M-76
R-16 P-6 D-6 M-54
R-16 P-6 S-30 M-24
R-16 P-6 D-3 M-27
R-17 P-1 D-1 M-73
R-17 P-2 D-1 M-25
R-17 P-3 D-1 M-44
R-17 P-4 D-1 M-80
R-17 P-5 D-3 M-79
R-17 P-6 D-3 M-30
R-17 P-6 S-2 M-28
R-18 P-1 D-5 M-78
R-18 P-1 S-38 M-40
R-18 P-2 D-1 M-26
R-18 P-3 D-6 M-50
R-18 P-3 D-2 M-52
R-18 P-3 L-11 M-63
R-18 P-4 D-4 M-84
R-18 P-4 S-34 M-50
R-18 P-5 D-3 M-82
R-18 P-6 D-6 M-34
R-18 P-6 D-5 M-39
R-19 P-1 D-3 M-43
R-19 P-1 S-19 M-24
R-19 P-2 D-5 M-31
R-19 P-2 L-12 M-43
R-19 P-3 D-3 M-66
R-19 P-4 D-5 M-55
R-19 P-5 D-1 M-83
R-19 P-6 D-6 M-45
R-19 P-6 D-6 M-51
R-19 P-6 D-3 M-54
R-19 P-6 S-30 M-24
R-20 P-1 D-2 M-26
R-20 P-2 D-4 M-47
R-20 P-3 D-5 M-71
R-20 P-4 D-1 M-56
R-20 P-5 D-3 M-86
R-20 P-5 S-20 M-66
R-20 P-6 D-1 M-25
R-21 P-1 D-5 M-31
R-21 P-1 L-12 M-43
R-21 P-2 D-1 M-48
R-21 P-3 D-1 M-72
R-21 P-4 D-2 M-58
R-21 P-5 D-4 M-70
R-21 P-6 D-6 M-31
R-21 P-6 L-12 M-43
R-21 P-6 D-5 M-48
R-22 P-1 D-4 M-47
R-22 P-2 D-6 M-54
R-22 P-2 S-30 M-24
R-22 P-2 D-2 M-26
R-22 P-3 D-1 M-73
R-22 P-4 D-4 M-62
R-22 P-5 D-1 M-71
R-22 P-6 D-3 M-51
R-23 P-1 D-5 M-52
R-23 P-1 L-11 M-63
R-23 P-2 D-3 M-29
R-23 P-3 D-6 M-79
R-23 P-3 D-6 M-85
R-23 P-3 D-6 M-91
R-23 P-3 D-6 M-97
R-23 P-3 D-2 M-99
R-23 P-4 D-3 M-65
R-23 P-5 D-2 M-73
R-23 P-6 D-6 M-57
R-23 P-6 D-5 M-62
R-24 P-1 D-2 M-65
R-24 P-2 D-6 M-35
R-24 P-2 D-6 M-41
R-24 P-2 D-5 M-46
R-24 P-3 D-1 M-100
R-24 P-3 S-30 M-70
R-24 P-4 D-3 M-68
R-24 P-5 D-6 M-79
R-24 P-5 D-4 M-83
R-24 P-6 D-2 M-64
R-25 P-1 D-6 M-71
R-25 P-1 D-5 M-76
R-25 P-2 D-5 M-51
R-25 P-3 D-4 M-74
R-25 P-4 D-1 M-69
R-25 P-5 D-3 M-86
R-25 P-5 S-20 M-66
R-25 P-6 D-2 M-66
R-26 P-1 D-6 M-82
R-26 P-1 D-3 M-85
R-26 P-2 D-5 M-56
R-26 P-3 D-1 M-75
R-26 P-3 S-15 M-60
R-26 P-4 D-4 M-73
R-26 P-5 D-6 M-72
R-26 P-5 D-4 M-76
R-26 P-6 D-6 M-72
R-26 P-6 D-4 M-76
R-27 P-1 D-6 M-91
R-27 P-1 D-4 M-95
R-27 P-2 D-4 M-60
R-27 P-2 S-20 M-40
R-27 P-3 D-6 M-66
R-27 P-3 D-6 M-72
R-27 P-3 D-1 M-73
R-27 P-4 D-4 M-77
R-27 P-5 D-4 M-80
R-27 P-6 D-3 M-79
R-28 P-1 D-1 M-96
R-28 P-2 D-1 M-41
R-28 P-3 D-4 M-77
R-28 P-4 D-6 M-83
R-28 P-4 D-4 M-87
R-28 P-5 D-3 M-83
R-28 P-6 D-2 M-81
R-29 P-1 D-1 M-97
R-29 P-2 D-6 M-47
R-29 P-2 D-2 M-49
R-29 P-2 S-13 M-36
R-29 P-3 D-4 M-81
R-29 P-4 D-5 M-92
R-29 P-4 S-45 M-47
R-29 P-5 D-1 M-84
R-29 P-5 S-34 M-50
R-29 P-6 D-6 M-87
R-29 P-6 D-4 M-91
R-30 P-1 D-4 M-101
R-30 P-2 D-3 M-39
R-30 P-3 D-4 M-85
R-30 P-4 D-1 M-48
R-30 P-5 D-5 M-55
R-30 P-6 D-6 M-97
R-30 P-6 D-1 M-98
R-31 P-1 D-3 M-104
R-31 P-2 D-3 M-42
R-31 P-3 D-3 M-88
R-31 P-4 D-5 M-53
R-31 P-5 D-1 M-56
R-31 P-6 D-6 M-104
R-31 P-6 D-1 M-105
R-31 P-6 S-34 M-71
R-32 P-1 D-4 M-108
R-32 P-2 D-1 M-43
R-32 P-2 S-19 M-24
R-32 P-3 D-5 M-93
R-32 P-4 D-1 M-54
R-32 P-4 S-30 M-24
R-32 P-5 D-2 M-58
R-32 P-6 D-3 M-74
R-33 P-1 D-1 M-109
R-33 P-1 L-45 M-154
R-33 P-2 D-3 M-27
R-33 P-3 D-3 M-96
R-33 P-4 D-4 M-28
R-33 P-5 D-5 M-63
R-33 P-6 D-2 M-76
R-34 P-1 D-6 M-160
R-34 P-1 L-25 M-185
R-34 P-1 D-6 M-191
R-34 P-1 D-1 M-192
R-34 P-2 D-4 M-31
R-34 P-2 L-12 M-43
R-34 P-3 D-6 M-102
R-34 P-3 D-3 M-105
R-34 P-3 S-34 M-71
R-34 P-4 D-6 M-34
R-34 P-4 D-2 M-36
R-34 P-4 L-7 M-43
R-34 P-5 D-6 M-69
R-34 P-5 D-1 M-70
R-34 P-6 D-4 M-80
R-35 P-1 D-6 M-198
R-35 P-1 L-15 M-213
R-35 P-1 D-1 M-214
R-35 P-2 D-5 M-48
R-35 P-3 D-1 M-72
R-35 P-4 D-4 M-47
R-35 P-5 D-5 M-75
R-35 P-5 S-15 M-60
R-35 P-6 D-4 M-84
R-35 P-6 S-34 M-50
R-36 P-1 D-2 M-216
R-36 P-2 D-5 M-53
R-36 P-3 D-3 M-75
R-36 P-3 S-15 M-60
R-36 P-4 D-5 M-52
R-36 P-4 L-11 M-63
R-36 P-5 D-2 M-62
R-36 P-6 D-1 M-51
R-37 P-1 D-6 M-222
R-37 P-1 D-2 M-224
R-37 P-2 D-6 M-59
R-37 P-2 D-5 M-64
R-37 P-3 D-4 M-64
R-37 P-4 D-1 M-64
R-37 P-5 D-5 M-67
R-37 P-6 D-1 M-52
R-37 P-6 L-11 M-63
R-37 P-1 D-2 M-224
R-38 P-2 D-4 M-68
R-38 P-3 D-1 M-65
R-38 P-4 D-1 M-65
R-38 P-5 D-4 M-71
R-38 P-6 D-3 M-66
R-37 P-1 D-2 M-224
R-39 P-2 D-2 M-70
R-39 P-3 D-3 M-68
R-39 P-4 D-2 M-67
R-39 P-5 D-4 M-75
R-39 P-5 S-15 M-60
R-39 P-6 D-2 M-68
R-37 P-1 D-2 M-224
R-40 P-2 D-4 M-74
R-40 P-3 D-2 M-70
R-40 P-4 D-6 M-73
R-40 P-4 D-4 M-77
R-40 P-5 D-6 M-66
R-40 P-5 D-1 M-67
R-40 P-6 D-5 M-73
R-37 P-1 D-2 M-224
R-41 P-2 D-2 M-76
R-41 P-3 D-3 M-73
R-41 P-4 D-5 M-82
R-41 P-5 D-2 M-69
R-41 P-6 D-1 M-74
R-42 P-1 D-1 M-225
wP-1

